source,target,weight
AIMR,SMBVR,0.02439
AIMR,RMDR,0.02439
AIMR,OLQDR,0.02439
AINL,ADEL,0.027778
AINL,AIAR,0.027778
AINL,ASEL,0.083333
AINL,AFDR,0.138889
AINL,AINR,0.055556
AINL,ASIL,0.222222
AINL,ASGR,0.055556
AINL,BAGL,0.083333
AINL,RIBR,0.055556
AINL,SAAVL,0.055556
AINL,RIBL,0.027778
AINL,AUAR,0.055556
AINL,RID,0.027778
AINL,RMDVL,0.055556
AINL,RMFL,0.027778
AINR,AIAL,0.058824
AINR,ADER,0.029412
AINR,AINL,0.088235
AINR,ASEL,0.029412
AINR,AFDR,0.029412
AINR,AFDL,0.117647
AINR,AIBL,0.058824
AINR,ASER,0.058824
AINR,ASIL,0.029412
AINR,ASGL,0.058824
AINR,AWCL,0.029412
AINR,BAGL,0.029412
AINR,RIBL,0.058824
AINR,AUAR,0.029412
AINR,AUAL,0.058824
AINR,BAGR,0.088235
AINR,RID,0.029412
AINR,URXL,0.029412
AINR,URXR,0.029412
AINR,CEPDL,0.029412
AINR,RIAL,0.029412
AIYL,AWAL,0.071429
AIYL,AVKL,0.02381
AIYL,AIYR,0.02381
AIYL,RIH,0.02381
AIYL,AFDL,0.071429
AIYL,AIBL,0.071429
AIYL,ASER,0.02381
AIYL,RIR,0.02381
AIYL,AIZL,0.309524
AIYL,AWCL,0.02381
AIYL,AWCR,0.02381
AIYL,HSNR,0.02381
AIYL,RIML,0.02381
AIYL,RIBL,0.095238
AIYL,RIAL,0.166667
AIYR,ADFR,0.029412
AIYR,RIMR,0.029412
AIYR,AINL,0.029412
AIYR,ASEL,0.029412
AIYR,AWAR,0.029412
AIYR,AWBR,0.029412
AIYR,AFDR,0.029412
AIYR,ASER,0.058824
AIYR,ASIR,0.029412
AIYR,HSNL,0.029412
AIYR,AIZR,0.235294
AIYR,ASGR,0.029412
AIYR,RIBR,0.058824
AIYR,RIVR,0.029412
AIYR,AUAR,0.029412
AIYR,AIYL,0.088235
AIYR,BAGR,0.029412
AIYR,RIAR,0.176471
AIZL,ADFL,0.027397
AIZL,ASHL,0.013699
AIZL,AIAL,0.041096
AIZL,AWAL,0.013699
AIZL,RICR,0.027397
AIZL,AVKR,0.013699
AIZL,ASEL,0.013699
AIZL,RIH,0.013699
AIZL,AFDL,0.013699
AIZL,AIBL,0.054795
AIZL,AIBR,0.136986
AIZL,ASGL,0.013699
AIZL,AIZR,0.027397
AIZL,AWCR,0.027397
AIZL,RIGL,0.027397
AIZL,RIML,0.054795
AIZL,DVA,0.013699
AIZL,AVEL,0.013699
AIZL,AVER,0.068493
AIZL,URYDL,0.027397
AIZL,SMBDL,0.123288
AIZL,VB02,0.013699
AIZL,RIAL,0.109589
AIZL,SMBVL,0.09589
AIZL,SMDVL,0.013699
AIZR,ADFR,0.019231
AIZR,ASHR,0.019231
AIZR,AIAR,0.019231
AIZR,RIMR,0.076923
AIZR,AWAR,0.038462
AIZR,AIBL,0.192308
AIZR,ASER,0.038462
AIZR,AIBR,0.019231
AIZR,AIZL,0.038462
AIZR,ASGR,0.019231
AIZR,AWCR,0.038462
AIZR,DVA,0.038462
AIZR,SMBDR,0.096154
AIZR,AVEL,0.076923
AIZR,AVER,0.038462
AIZR,SMBVR,0.057692
AIZR,RIAR,0.134615
AIZR,SMDDR,0.019231
AIZR,SIADR,0.019231
ALA,AVDR,0.066667
ALA,ADEL,0.066667
ALA,ASKR,0.066667
ALA,HSNR,0.066667
ALA,RID,0.066667
ALA,AVAL,0.066667
ALA,AVEL,0.133333
ALA,AVER,0.2
ALA,ASJR,0.066667
ALA,ASJL,0.066667
ALA,RMDR,0.066667
ALA,RIAR,0.066667
ALML,AVDR,0.029412
ALML,PVR,0.029412
ALML,RMGL,0.058824
ALML,RICL,0.029412
ALML,RICR,0.058824
ALML,BDUL,0.205882
ALML,AVM,0.029412
ALML,CEPVL,0.058824
ALML,AIML,0.029412
ALML,SDQL,0.029412
ALML,RIFL,0.029412
ALML,SMBDR,0.058824
ALML,PVCR,0.058824
ALML,AVEL,0.029412
ALML,PVCL,0.117647
ALML,CEPDL,0.088235
ALML,RMDDR,0.058824
ALMR,AVDR,0.1
ALMR,PVR,0.05
ALMR,URBR,0.05
ALMR,AVM,0.05
ALMR,BDUR,0.3
ALMR,SDQR,0.05
ALMR,PVCR,0.15
ALMR,CEPVR,0.05
ALMR,CEPDR,0.05
ALMR,RMDDL,0.05
ALMR,SMDDL,0.05
ALMR,SIADL,0.05
ALNL,RMGL,0.071429
ALNL,SAAVL,0.214286
ALNL,SMBDR,0.214286
ALNL,RIAL,0.071429
ALNL,RMDDR,0.071429
ALNL,SMDVL,0.142857
ALNL,SMDDR,0.071429
ALNL,SIADR,0.071429
ALNL,RMHL,0.071429
ALNR,PVR,0.461538
ALNR,ADER,0.076923
