# Gap junctions in the C. elegans
# From the dataset used by Cook et al.
ASIL,AINR,1,EJ
ASIL,CEPshVL,1,EJ
ASIR,ASIL,1,EJ
ASIR,ASGR,3,EJ
ASIR,AIYR,1,EJ
ASIR,AIAR,1,EJ
ASJL,ASJR,1,EJ
ASJL,IL2L,1,EJ
ASJL,ALA,1,EJ
ASJL,PVQL,1,EJ
ASJL,SMDDR,1,EJ
ASJR,ASJL,1,EJ
ASJR,AIMR,1,EJ
ASJR,PVQR,2,EJ
AWAL,AWAR,1,EJ
AWAL,ADLL,1,EJ
AWAL,AIZL,1,EJ
AWAR,AWAL,1,EJ
AWAR,ADFR,1,EJ
AWAR,AIAR,1,EJ
AWAR,AIZR,1,EJ
ASGL,AWBL,1,EJ
ASGL,ASEL,1,EJ
ASGL,AINR,1,EJ
ASGL,AIML,1,EJ
ASGL,AIZL,1,EJ
ASGL,SMDDR,1,EJ
ASGR,ASIR,3,EJ
ASGR,ASER,1,EJ
ASGR,ADFR,1,EJ
ASGR,AWCR,1,EJ
ASGR,ADLR,1,EJ
ASGR,AINL,1,EJ
ASGR,AIAR,2,EJ
ASGR,AIZR,1,EJ
AWBL,ASGL,1,EJ
AWBL,AWBR,1,EJ
AWBL,AUAL,1,EJ
AWBL,RMGL,1,EJ
AWBR,AWBL,1,EJ
AWBR,ASER,1,EJ
AWBR,ADFR,1,EJ
AWBR,AUAR,1,EJ
AWBR,RMGR,1,EJ
AWBR,RICL,1,EJ
ASEL,ASGL,1,EJ
ASEL,AFDL,4,EJ
ASEL,AFDR,1,EJ
ASEL,AWCL,1,EJ
ASEL,AWCR,2,EJ
ASER,ASGR,1,EJ
ASER,AWBR,1,EJ
ASER,AFDR,1,EJ
ASER,PVQR,1,EJ
ASER,hyp,1,EJ
ADFL,AFDL,2,EJ
ADFL,AWCL,1,EJ
ADFL,ASHL,1,EJ
ADFL,URBL,1,EJ
ADFL,AIZL,1,EJ
ADFL,ADAL,2,EJ
ADFL,RIAL,1,EJ
ADFL,RIPL,1,EJ
ADFL,exc_gl,1,EJ
ADFR,AWAR,1,EJ
ADFR,ASGR,1,EJ
ADFR,AWBR,1,EJ
ADFR,AFDR,2,EJ
ADFR,RIH,1,EJ
ADFR,AIAR,3,EJ
ADFR,ADAR,1,EJ
ADFR,SMDVR,1,EJ
ADFR,SMBVR,1,EJ
ADFR,hyp,1,EJ
AFDL,ASEL,4,EJ
AFDL,ADFL,2,EJ
AFDL,AFDR,1,EJ
AFDL,URBL,4,EJ
AFDL,AIYL,1,EJ
AFDL,AIBL,1,EJ
AFDL,AVEL,1,EJ
AFDR,ASEL,1,EJ
AFDR,ASER,1,EJ
AFDR,ADFR,2,EJ
AFDR,AFDL,1,EJ
AFDR,AWCR,1,EJ
AFDR,ASHR,2,EJ
AFDR,URBR,1,EJ
AFDR,AIBR,1,EJ
AFDR,RMDVR,1,EJ
AWCL,ASEL,1,EJ
AWCL,ADFL,1,EJ
AWCL,AUAL,1,EJ
AWCR,ASGR,1,EJ
AWCR,ASEL,2,EJ
AWCR,AFDR,1,EJ
AWCR,AIAR,1,EJ
ASKL,ASKR,2,EJ
